School Name,Website,Phone Number
Bloom-Carroll Local School District,http://www.bloom-carroll.k12.oh.us/,(614) 837-6560
Bloom-Vernon Local School District,http://www.bv.k12.oh.us/,(740) 778-2281
Bloomfield-Mespo Local School District,http://www.bloomfield-mespo.org/,(440) 685-4711
Bluffton Exempted Village School District,http://www.bluffton.noacsc.org/,(419) 358-5901
Boardman Local School District,http://www.boardman.k12.oh.us/,(330) 726-3404
Botkins Local School District,http://www.botkins.k12.oh.us/,(937) 693-3756
Bowling Green City School District,http://www.bgcs.k12.oh.us/,(419) 352-3576
Bradford Exempted Village School District,http://www.bradford.k12.oh.us/,(937) 448-2770
Brecksville-Broadview Heights City School District,http://www.bbhcsd.org/,(440) 740-4000
Bridge Gate Community School School District,http://www.bridgegateedu.org/,(614) 501-3820
Bridgeport Exempted Village School District,http://www.bevs.k12.oh.us/,(740) 635-1713
Bridges Community Academy,http://bcatiffin.org,(419) 455-9295
Bright Local School District,http://www.blsd.us,(937) 442-3114
Bristol Local School District,http://www.bristol.k12.oh.us/,(330) 889-3882
Broadway Academy,http://acabroadway.com/,(216) 271-7747
Brookfield Local School District,http://www.brookfield.k12.oh.us/,(330) 448-4930
Brooklyn City School District,http://www.brooklyn.k12.oh.us/,(216) 485-8100
Brookville Local School District,http://www.brookvilleschools.org/,(937) 833-2181
Brown Local School District,http://www.brownlocalschools.com/,(330) 863-1170
Brunswick City School District,http://www.bcsoh.org/,(330) 225-7731
Bryan City School District,http://www.bryan.k12.oh.us/,(419) 636-6973
Buckeye Central Local School District,http://www.buckeye-central.k12.oh.us/,(419) 492-2864
Buckeye Local School District,http://www.buckeyeschools.info/,(440) 998-4411
Buckeye Local School District,http://www.buckeyelocal.net/,(740) 769-7395
Buckeye Local School District,http://www.buckeyeschools.org/,(877) 644-6338
Buckeye Online School For Success,http://www.go2boss.com/,(330) 385-1987
Buckeye Preparatory Academy,http://www.buckeyeprep.org,(614) 300-3685
Buckeye School District,,(330) 339-2288
Buckeye United School District,,(614) 752-7606
Buckeye Valley Local School District,http://www.buckeyevalley.k12.oh.us/,(740) 369-8735
Bucyrus City School District,http://bucyrusschools.org/,(419) 562-4045
Butler Technology & Career Development Schools,http://www.butlertech.org,(513) 868-1911
Caldwell Exempted Village School District,http://www.caldwell.k12.oh.us/,(740) 732-5637
Cambridge City School District,http://www.cambridge.k12.oh.us/,(740) 439-5021
Campbell City,http://www.campbell.k12.oh.us/,(330) 799-6726
Canal Winchester Local School District,http://www.cwschools.org/,(614) 837-4533
Canfield Local School District,http://www.canfield.access-k12.org/,(330) 533-3303
Canton City School District,http://www.ccsdistrict.org/,(330) 438-2500
Canton College Preparatory School School District,http://www.cantoncollegeprep.org,(330) 455-0498
Canton Harbor High School School District,http://www.cantonharbor.org,(330) 452-8414
Canton Local School District,http://www.cantonlocal.org,(330) 484-8010
Capital City Career Prep High School,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(614) 863-9175
Capital High School,http://capitalhighohio.com/,(614) 626-6775
Cardinal Local School District,http://cardinalschools.org/,(440) 632-0261
Cardington-Lincoln Local School District,http://www.cardington.k12.oh.us/,(419) 864-3691
Career And Technology Educational Centers,,(740) 366-3351
Carey Exempted Village School District,http://careyschools.org,(419) 396-7922
Carlisle Local School District,http://www.carlisleindians.org/,(937) 746-0710
Carrollton Exempted Village School District,http://www.carrollton.k12.oh.us/,(330) 627-2181
Cascade Career Prep High School,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(330) 633-5990
Cedar Cliff Local School District,http://cedarcliffschools.net,(937) 766-6000
Celina City School District,http://www.celinaschools.org/,(419) 586-8300
Center For Student Achievement,http://jcs.k12.oh.us/wordpress/?page_id=1679,(740) 286-7839
Centerburg Local,http://www.centerburgschools.org/,(740) 625-6346
Centerville City,http://www.centerville.k12.oh.us/,(937) 433-8841
Central Academy Of Ohio,http://www.ohiocentralacademy.net,(419) 205-9800
Central High School School District,http://www.columbuscentralhigh.org,(614) 362-7530
Central Local School District,http://www.centrallocal.org/,(419) 658-2808
Cesar Chavez College Preparatory School,http://sites.google.com/a/edsolns.com/educational-solutions,(614) 294-3020
Chagrin Falls Exempted Village School District,http://www.chagrinschools.org,(440) 247-5500
Champion Local School District,http://www.championlocal.org/,(330) 847-2330
Chapelside Cleveland Academy School District,http://acachapel.com/,(216) 283-6589
Chardon Local School District,http://www.chardon.k12.oh.us/,(440) 285-4052
Charles School At Ohio Dominican University,http://www.thecharlesschool.org,(614) 258-8588
Chesapeake Union Exempted Village School District,http://www.peake.k12.oh.us/,(740) 867-3135
Chillicothe City School District,http://www.chillicothe.k12.oh.us/,(740) 775-4250
Chippewa Local School District,http://www.chippewa.k12.oh.us/,(330) 658-6368
Cincinnati Achievement Academy,http://www.cinciachievementedu.org,(513) 975-4946
Cincinnati College Preparatory Academy,http://www.ccpaonline.com,(513) 684-0777
Cincinnati Generation Academy,http://www.cincinnatigenerationacademy.org/,(513) 389-0968
Cincinnati Learning Schools School District,http://www.carpediemaiken.com/,(513) 783-1025
Cincinnati Public Schools,http://www.cps-k12.org/,(513) 363-0000
Cincinnati Technology Academy School District,http://www.cintitechacademy.com,(513) 471-7323
Circleville City School District,http://circlevillecityschools.org/,(740) 474-4340
Citizens Academy,http://citizensacademy.org,(216) 791-4195
Citizens Academy East School District,http://citizensacademyeast.org,(216) 367-9392
Citizens Academy Southeast School District,http://breakthroughschools.org/citizens-academy-southeast/,(216) 586-3887
Citizens Leadership Academy,http://citizensleadership.org/,(216) 229-8185
Citizens Leadership Academy East,http://www.cla-east.org,(216) 352-5900
City Day Community School,http://www.cityday.org/,(937) 223-8130
Clark Preparatory Academy School District,http://www.clarkpreparatory.org,(937) 504-1175
Clark-Shawnee Local School District,http://www.clark-shawnee.k12.oh.us/,(937) 328-5378
Clay Avenue Community School,http://www.imagineclayavenue.org,(419) 727-9900
Clay Local School District,http://www.clay.k12.oh.us/,(740) 354-6645
Claymont City School District,http://www.claymontschools.org/,(740) 922-5478
Clear Fork Valley Local School District,http://www.clearfork.k12.oh.us/,(419) 886-3855
Clearview Local School District,http://www.clearview.k12.oh.us/,(440) 233-5412
Clermont Northeastern Local School District,http://www.cneschools.org/,(513) 625-5478
Cleveland Academy For Scholarship Technology And Leadership,http://www.castlehsedu.org/,(216) 583-5210
Cleveland Arts And Social Sciences Academy,http://clevelandartsocsci.org/,(216) 229-3000
Cleveland College Preparatory School,http://clevelandcollegeprep.org/,(216) 341-1347
Cleveland Entrepreneurship Preparatory School,http://www.theprepschools.org/cliffs/,(216) 456-2080
Cleveland Heights-University Heights City,http://www.chuh.org/,(216) 371-7171
Cleveland Metropolitan School District,http://clevelandmetroschools.org/,(216) 838-0000
Cliff Park High School School District,http://www.cliffparkhigh.org/,(937) 342-3006
Clinton-Massie Local School District,http://www.cmfalcons.org,(937) 289-2471
Cloverleaf Local School District,http://www.cloverleaflocal.org/,(330) 302-0303
Clyde-Green Springs Exempted Village School District,http://www.clyde.k12.oh.us/,(419) 547-0588
Coldwater Exempted Village School District,http://cw.noacsc.org/,(419) 678-2611
College Corner Local,http://www.uc.k12.in.us/,(765) 732-3183
Colonel Crawford Local School District,http://www.cck12.org/,(419) 562-6755
Colonial Prep Academy School District,http://www.colonialprep.org,(330) 752-2792
Columbia Local School District,http://www.columbia.k12.oh.us/,(440) 236-5008
Columbiana County School District,,(330) 424-9561
Columbiana Exempted Village School District,http://www.columbiana.k12.oh.us/,(330) 482-5353
Columbus Arts & Technology Academy,http://columbusata.org/,(614) 577-0900
Columbus Bilingual Academy-North,http://www.cbanorth.org/,(614) 547-4500
Columbus City School District,http://www.ccsoh.us/,(614) 365-5000
Columbus Collegiate Academy,http://www.unitedschoolsnetwork.org/maincampus.php,(614) 299-5284
Columbus Collegiate Academy - West,http://www.unitedschoolsnetwork.org/danacampus.php,(614) 545-9570
Columbus Grove Local School District,http://cg.noacsc.org/,(419) 659-2639
Columbus Humanities Arts And Technology Academy,http://columbushumanitiesata.org/,(614) 261-1200
Columbus Performance Academy,http://www.performanceacademies.com/ohio-schools/columbus/co,(614) 318-0720
Columbus Preparatory Academy,http://columbuspreparatoryacademy.org/,(614) 275-3600
Columbus Preparatory And Fitness Academy,http://www.performanceacademies.com/ohio-schools/columbus/co,(614) 318-0606
Conneaut Area City School District,http://www.cacsk12.org/,(440) 593-7200
Conotton Valley Union Local School District,http://www.conottonvalley.k12.oh.us/,(740) 269-2000
Constellation Schools: Collin.,http://collinwoodvillageacademy.constellationschools.com/,(216) 451-4022
Constellation Schools: Elyria Community Elementary,http://elyriacommunity.constellationschools.com/,(440) 366-5225
Constellation Schools: Lorain Community Elementary,http://loraincommunityelementary.constellationschools.com/,(440) 204-2130
Constellation Schools: Lorain Community Middle,http://loraincommunitymiddle.constellationschools.com/,(440) 242-2023
Constellation Schools: Madison Community Elementary,http://madisoncommunityelementary.constellationschools.com/,(216) 651-5212
Constellation Schools: Old Brooklyn Community Elementary,http://oldbrooklyncommunityelementary.constellationschools.c,(216) 661-7888
Constellation Schools: Old Brooklyn Community Middle,http://oldbrooklyncommunitymiddle.constellationschools.com/,(216) 351-0280
Constellation Schools: Outreach Academy For Students With Di,http://outreachacademy.constellationschools.com/,(216) 688-1900
Constellation Schools: Parma Community,http://parmacommunity.constellationschools.com/,(440) 888-5490
Constellation Schools: Puritas Community Elementary,http://puritascommunityelementary.constellationschools.com/,(216) 688-0680
Constellation Schools: Puritas Community Middle,http://puritascommunitymiddle.constellationschools.com/,(216) 688-0680
Constellation Schools: Stockyard Community Elementary,http://stockyardcommunityelementary.constellationschools.com,(216) 651-5143
Constellation Schools: Stockyard Community Middle,http://stockyardcommunitymiddle.constellationschools.com/,(216) 961-5052
Constellation Schools: Westpark Community Elementary,http://westparkcommunityelementary.constellationschools.com/,(216) 688-0271
Constellation Schools: Westpark Community Middle,http://westparkcommunitymiddle.constellationschools.com/,(216) 251-7200
Constellation Schools: Westside Community School Of The Arts,http://westsidearts.constellationschools.com/,(216) 688-1900
Constellation Schools:eastside,http://eastsideartsacademy.constellationschools.com/,(216) 441-9830
Continental Local School District,http://continentalpirates.org/,(419) 596-3671
Copley-Fairlawn City School District,http://www.copley-fairlawn.org,(330) 664-4800
Cornerstone Academy Community,http://cornerstoneacad.org,(614) 775-0615
Cory-Rawson Local School District,http://cory-rawson.k12.oh.us/,(419) 963-3415
Coshocton City School District,http://www.coshoctoncityschools.com,(740) 622-1901
Coshocton County School District,,(740) 622-0211
Coshocton Opportunity School,http://www.coshoctonopportunityschool.com/,(740) 622-3600
Coventry Local School District,http://www.coventryschools.org/,(330) 644-8489
Covington Exempted Village School District,http://www.covington.k12.oh.us/,(937) 473-2249
Crestline Exempted Village School District,http://www.crestline.k12.oh.us/,(419) 683-3647
Crestview Local School District,http://www.crestviewrebels.org/,(330) 482-5526
Crestview Local School District,http://www.crestviewschools.net,(419) 895-1700
Crestview Local School District,http://www.crestviewknights.com,(877) 644-6338
Crestwood Local School District,http://www.crestwoodschools.org/,(330) 357-8206
Crooksville Exempted Village School District,http://www.crooksville.k12.oh.us/,(740) 982-7040
Cruiser Academy,http://www.gocruisers.org/cruiseracademy_home.aspx,(614) 237-8756
Cuyahoga Falls City School District,http://www.cfalls.org/,(330) 926-3800
Cuyahoga Heights Local School District,http://www.cuyhts.org,(216) 429-5700
Cuyahoga Valley Career Center,,(440) 526-5200
Dalton Local School District,http://www.daltonlocal.org,(330) 828-2267
Dampe Community School,http://www.dampecincy.org,(513) 304-8210
Danbury Local School District,http://www.danburyschools.org/,(419) 798-5185
Danville Local School District,http://www.danvilleschools.org/,(740) 599-6116
Dawson-Bryant Local School District,http://www.db.k12.oh.us/,(740) 532-6451
Dayton City School District,http://www.daytonpublic/,(937) 542-3000
Dayton Early College Academy Inc,http://www.daytonearlycollege.org,(937) 229-5780
Dayton Leadership Academies-Dayton Liberty Campus,http://www.daytonleadershipacademies.com,(937) 567-9426
Dayton Leadership Academies-Dayton View Campus,http://www.daytonleadershipacademies.com/Default.aspx,(937) 567-9426
Dayton Regional Stem School,http://www.daytonstemschool.org,(937) 256-3777
Dayton Smart Elementary School School District,http://www.daytonsmartelementary.org,(937) 222-2812
Dayton Technology Design High School,,(937) 225-3989
Deca Prep School District,http://www.decaprep.org/,(937) 610-0110
Deer Park Community City School District,http://www.deerparkcityschools.org/,(513) 891-0222
Defiance City School District,http://www.defiancecityschools.org/,(419) 782-0070
Delaware Area Career Center,,(740) 548-0708
Delaware City School District,http://www.dcs.k12.oh.us/,(740) 833-1100
Delphos City School District,http://www.delphoscityschools.org/,(419) 692-2509
Discovery Academy School District,http://www.discoverytoledo.com/,(419) 214-3266
Dohn Community,http://www.dohnschool.org,(513) 281-6100
Dover City School District,http://www.dovertornadoes.com,(330) 364-1906
Dublin City School District,http://www.dublinschools.net/,(614) 764-5913
Eagle Academy,http://www.eagletoledo.com/,(419) 697-2760
Eagle Learning Center,http://www.oregonelc.org/,(419) 720-2003
Early College Academy School District,http://www.earlycollegecolumbus.com/,(614) 298-4742
East Academy School District,http://acaeast.com/,(216) 383-1214
East Branch Preparatory Academydbawright Preparatory Academy School District,http://www.wrightprep.org,(234) 207-5455
East Bridge Academy of Excellence,http://www.eastbridgeedu.org/,(614) 987-2345
East Cleveland City School District,http://www.east-cleveland.k12.oh.us/,(216) 268-6570
East Clinton Local School District,http://www.east-clinton.k12.oh.us/,(937) 584-2461
East Guernsey Local School District,http://www.eguernsey.k12.oh.us/,(740) 489-5190
East Holmes Local School District,http://www.eastholmes.k12.oh.us/,(330) 893-2610
East Knox Local School District,http://www.eastknox.k12.oh.us/,(740) 599-7000
East Liverpool City School District,http://www.elcsd.k12.oh.us/,(330) 385-7132
East Muskingum Local School District,http://www.east-muskingum.k12.oh.us/,(740) 826-7655
East Palestine City School District,http://www.myepschools.org/,(330) 426-4191
East Preparatory Academy School District,http://www.eastprep.org,(216) 539-0595
Eastern Local School District,http://www.easternlocal.com/,(937) 695-1399
Eastern Local School District,http://www.easternlocal.com/,(740) 667-6079
Eastern Local School District,http://www.ep.k12.oh.us,(740) 226-4851
Eastland Preparatory Academy,http://eastlandprep.org/,(614) 547-4493
Eastland-Fairfield Career Tech School District,http://www.eastland-fairfield.com,(614) 836-4530
Eastwood Local School District,http://www.eastwoodschools.org/,(419) 833-6411
Eaton Community City School District,http://www.eaton.k12.oh.us/,(937) 456-1107
Edge Academy The,http://new.edge4kids.org/joomla/index.php,(330) 535-4581
Edgerton Local School District,http://www.edgerton.k12.oh.us/,(419) 298-2112
Edgewood City School District,http://www.edgewoodschools.com/,(513) 863-4692
Edison Local (Formerly Berlin-Milan) School District,http://www.edisonchargers.org,(419) 499-3000
Edison Local School District,http://www.edisonlocal.k12.oh.us/,(330) 532-3199
Edon-Northwest Local School District,http://www.edon.k12.oh.us/,(419) 272-3213
Educational Academy For Boys & Girls,,(614) 351-1774
Ehove Career Center,http://www.ehove.net,(866) 256-9707
Electronic Classroom Of Tomorrow,http://www.ecotohio.org/,(614) 492-8884
Elevated Excellence Academy,http://eeacincy.org,(877) 644-6338
Elgin Local School District,http://www.elginschools.org/,(740) 382-1101
Elida Local School District,http://www.home.elida.k12.oh.us/,(419) 331-4155
Elmwood Local School District,http://www.elmwood.k12.oh.us/,(419) 655-2583
Elyria City Schools,http://www.elyriaschools.org/,(440) 284-8201
Emerson Academy,http://www.nhaschools.com/schools/emerson/en/pages/default.,(937) 223-2889
Entrepreneurship Preparatory School - Woodland Hills Campus School District,http://www.epvpwoodlandhills.org/,(216) 298-1164
Euclid City School District,http://euclidschools.org/,(216) 261-2900
Euclid Preparatory School,http://euclidprep.org/,(216) 750-2070
Everest High School School District,http://www.everesths.org/,(614) 367-1980
Evergreen Local School District,http://www.evergreen.k12.oh.us/,(419) 644-3521
Fairbanks Local School District,http://www.fairbanks.k12.oh.us/,(937) 349-3731
Fairborn City School District,http://www.fairborn.k12.oh.us/,(937) 878-3961
Fairborn Digital Academy,http://fairborndigital.us/,(937) 879-0511
Fairfield City School District,http://www.fairfieldcityschools.com/,(513) 829-6300
Fairfield Local School District,http://www.fairfieldlocal.org/,(937) 780-2221
Fairfield Union Local School District,http://www.fairfield-union.k12.oh.us,(740) 536-7384
Fairland Local School District,http://www.fairland.k12.oh.us/,(740) 886-3100
Fairlawn Local School District,http://www.fairlawn.k12.oh.us/,(937) 492-1974
Fairless Local School District,http://www.fairlesslocalschools.org,(330) 767-3577
Fairport Harbor Exempted Village School District,http://www.fhevs.org/,(440) 354-5400
Fairview Park City School District,http://www.fairviewparkschools.org/,(440) 331-5500
Fayette Local School District,http://www.fayettesch.org/,(416) 237-2573
Fayetteville-Perry Local School District,http://www.fp.k12.oh.us/,(513) 875-2423
Federal Hocking Local School District,http://www.fedhock.com/,(740) 662-6691
Felicity-Franklin Local School District,http://www.felicityschools.org/,(513) 362-5348
Field Local School District,http://www.fieldlocalschools.org/,(330) 673-2659
Findlay City School District,http://www.findlaycityschools.org/,(419) 425-8212
Findlay Digital Academy,http://findlaydigitalacademy.com/,(419) 425-3598
Finneytown Local School District,http://www.finneytown.org/,(513) 728-3700
Firelands Local School District,http://www.firelandsschools.org/,(440) 965-5821
Flex High School School District,http://flexhigh.org/,(614) 610-9749
Focus Learning Academy Of Northern Columbus,http://focusacademynorth.org,(614) 547-0920
Focus Learning Academy Of Southeastern Columbus,http://focuslearn.org,(614) 269-0150
Focus Learning Academy Of Southwest Columbus,http://focuslearn.org,(614) 545-2000
Focus North High School,http://focuslearn.org,(614) 310-0430
Forest Hills Local School District,http://www.foresthills.edu/,(513) 231-3600
Fort Frye Local School District,http://www.fortfrye.k12.oh.us/,(740) 984-2497
Fort Loramie Local School District,http://www.loramie.k12.oh.us/,(937) 295-3931
Fort Recovery Local School District,http://www.fortrecoveryschools.org/,(419) 375-4139
Fostoria City School District,http://www.fostoriaschools.org,(419) 435-8163
Foundation Academy,http://foundationacad.org/,(419) 526-9540
Four County Career Center,,(419) 267-3331
Foxfire East Academy School District,http://www.foxfireschools.com/,(740) 432-8170
Foxfire High School,http://www.foxfireschools.com/,(740) 453-4509
Foxfire Intermediate School,http://www.foxfireschools.com/,(740) 453-4509
Franklin City School District,http://www.franklincityschools.com/,(937) 746-1699
Franklin Local Community School,http://www.franklinlocalschools.org/schools/flcs/,(740) 697-7317
Franklin Local School District,http://www.franklinlocalschools.org/,(740) 674-5203
Franklin Monroe Local School District,http://www.franklin-monroe.k12.oh.us/,(937) 947-1212
Franklinton Preparatory Academy School District,http://franklintonprep.org/,(614) 636-3721
Frederick Douglass Reclamation Academy,http://www.fdhigh.org,(216) 273-3033
Fredericktown Local School District,http://www.fredericktownschools.com/,(740) 694-2956
Fremont City School District,http://www.fremontschools.net/,(419) 332-6454
Frontier Local School District,http://www.flsd.k12.oh.us/,(740) 865-3473
Gahanna-Jefferson City School District,http://gahannaschools.org/,(614) 471-7065
Galion City School District,http://www.galionschools.org,(419) 468-3432
Gallia County Local School District,http://www.gallialocal.org/,(740) 379-9085
Gallia-Jackson-Vinton School District,,(740) 245-5334
Gallipolis City School District,http://www.gallipoliscityschools.k12.oh.us/,(740) 446-3211
Garaway Local School District,http://www.garaway.org/,(330) 852-2421
Garfield Heights City Schools,http://www.garfieldheightscityschools.com/,(216) 475-8100
Gem City Career Prep High School,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(937) 274-2841
Geneva Area City School District,http://www.genevaschools.org/,(440) 466-4831
Genoa Area Local School District,http://www.genoaschools.com/,(419) 855-7741
George V. Voinovich Reclamation Academy,http://www.gvhigh.org,(216) 295-9009
Georgetown Exempted Village School District,http://www.gtown.k12.oh.us/,(937) 378-3565
Gibsonburg Exempted Village School District,http://www.gibsonburg.k12.oh.us/,(419) 637-2479
Girard City School District,http://girardcityschools.org/,(330) 545-2596
Glass City Academy,http://www.glasscityacademy.org/,(419) 720-6311
Global Ambassadors Language Academy School District,http://www.GALACleveland.org,(216) 315-7942
Global Impact Stem Academy School District,http://www.globalimpactacademy.org,(937) 328-6600
Global Village Academy,http://www.globalvillageacademy.net/,(216) 767-5956
Goal Digital Academy,http://www.goaldigital.org,(877) 659-1900
Goshen Local School District,http://www.goshenlocalschools.org/,(513) 722-2222
Graham Expeditionary Middle School,http://www.gemsschool.org,(614) 253-4000
Graham Local School District,http://www.grahamlocalschools.org/,(937) 663-4123
Graham Primary School School District,http://www.grahamprimary.org,(614) 253-4001
Graham School The,http://www.thegrahamschool.org,(614) 262-1111
Grand Valley Local School District,http://www.grand-valley.k12.oh.us/,(440) 805-4545
Grandview Heights City School District,http://www.ghschools.org,(614) 485-4015
Granville Exempted Village School District,http://www.granvilleschools.org/,(740) 587-8101
Great Oaks Career Campuses,http://www.greatoaks.com,(513) 771-8840
Great River Connections Academy,http://www.greatriverconnectionsacademy.com,(614) 368-1288
Great Western Academy,http://imagineschoolsgwa.org/home/,(614) 276-1028
Greater Ohio Virtual School,http://www.mygovs.com,(513) 695-2924
Greater Summit County Early Learning Center,http://scopeacademy.org/,(234) 718-2626
Green Inspiration Academy School District,http://www.greeninspirationacademy.com/,(216) 378-9573
Green Local School District,http://www.green-local.k12.oh.us/,(740) 354-9221
Green Local School District,http://www.greenlocalschools.org/,(330) 896-7500
Green Local School District,http://www.green-local.k12.oh.us/,(330) 669-3921
Greene County Jt Voc School District,,(937) 372-6941
Greeneview Local School District,http://www.greeneview.k12.oh.us/,(937) 675-2728
Greenfield Exempted Village School District,http://www.greenfieldmcclain.org,(937) 981-2152
Greenon Local School District,http://www.greenon.k12.oh.us/,(937) 864-1202
Greenville City School District,http://www.greenville.k12.oh.us/,(937) 548-3185
Groveport Community School,http://www.imaginegroveport.org,(614) 574-0037
Groveport Madison Local School District,http://www.gocruisers.org/,(614) 492-2520
Hamilton City School District,http://hamiltoncityschools.com/,(513) 887-5000
Hamilton Cnty Math & Science,http://www.hcmsa.net/,(513) 728-8620
Hamilton Local Digital Academy,http://www.hamilton-local.k12.oh.us/alternativeacademy_home.,(614) 491-8044
Hamilton Local School District,http://www.hamilton-local.k12.oh.us/,(614) 491-8044
Hardin Community School School District,,(419) 673-3210
Hardin Northern Local School District,http://hn.k12.oh.us/,(419) 759-2331
